
0/354688 [00:00<? ?it/s] wheel.py:111: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(batch.label, dtype=torch.long, device=self.device)

0/354688 [00:05<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
0/354688 [00:10<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
256/354688 [00:10<4:11:44 23.46it/s]  0 loss: 0.25067, acc: 0.4375: 
12160/354688 [03:16<1:24:44 67.37it/s]  0 loss: 0.18265, acc: 0.7293:  
12224/354688 [03:16<1:26:45 65.79it/s]  0 loss: 0.18265, acc: 0.7293: 
12288/354688 [03:17<1:27:47 65.00it/s]  0 loss: 0.18265, acc: 0.7293: 
12352/354688 [03:18<1:36:31 59.11it/s]  0 loss: 0.18265, acc: 0.7293: 
12416/354688 [03:20<1:40:33 56.73it/s]  0 loss: 0.18265, acc: 0.7293: 
12480/354688 [03:21<1:41:22 56.26it/s]  0 loss: 0.18265, acc: 0.7293: 
12544/354688 [03:22<1:39:01 57.59it/s]  0 loss: 0.18265, acc: 0.7293: 
12608/354688 [03:23<1:35:49 59.50it/s]  0 loss: 0.18265, acc: 0.7293: 
12672/354688 [03:24<1:29:53 63.41it/s]  0 loss: 0.18265, acc: 0.7293: 
12736/354688 [03:25<1:30:50 62.74it/s]  0 loss: 0.18265, acc: 0.7293: 
12800/354688 [03:26<1:31:33 62.24it/s]  0 loss: 0.18265, acc: 0.7293: 
12800/354688 [03:27<1:31:33 62.24it/s]  0 loss: 0.18132, acc: 0.73173: 
12864/354688 [03:27<1:31:08 62.51it/s]  0 loss: 0.18132, acc: 0.73173: 
12928/354688 [03:28<1:26:27 65.88it/s]  0 loss: 0.18132, acc: 0.73173: 
12992/354688 [03:28<1:23:11 68.45it/s]  0 loss: 0.18132, acc: 0.73173: 
13056/354688 [03:30<1:26:39 65.71it/s]  0 loss: 0.18132, acc: 0.73173: 
13120/354688 [03:31<1:27:14 65.25it/s]  0 loss: 0.18132, acc: 0.73173: 
13184/354688 [03:32<1:28:44 64.14it/s]  0 loss: 0.18132, acc: 0.73173: 
13248/354688 [03:33<1:28:53 64.02it/s]  0 loss: 0.18132, acc: 0.73173: 
13312/354688 [03:34<1:28:12 64.50it/s]  0 loss: 0.18132, acc: 0.73173: 
13376/354688 [03:35<1:28:40 64.15it/s]  0 loss: 0.18132, acc: 0.73173: 
13440/354688 [03:36<1:29:02 63.87it/s]  0 loss: 0.18132, acc: 0.73173: 
13440/354688 [03:36<1:29:02 63.87it/s]  0 loss: 0.17973, acc: 0.73423: 
13504/354688 [03:36<1:26:25 65.79it/s]  0 loss: 0.17973, acc: 0.73423: 
13568/354688 [03:37<1:26:46 65.52it/s]  0 loss: 0.17973, acc: 0.73423: 
13632/354688 [03:38<1:27:00 65.33it/s]  0 loss: 0.17973, acc: 0.73423: 
13696/354688 [03:39<1:27:59 64.59it/s]  0 loss: 0.17973, acc: 0.73423: 
13760/354688 [03:40<1:27:22 65.03it/s]  0 loss: 0.17973, acc: 0.73423: 
13824/354688 [03:41<1:27:18 65.07it/s]  0 loss: 0.17973, acc: 0.73423: 
13888/354688 [03:42<1:24:52 66.92it/s]  0 loss: 0.17973, acc: 0.73423: 
13952/354688 [03:43<1:25:48 66.18it/s]  0 loss: 0.17973, acc: 0.73423: 
14016/354688 [03:45<1:42:25 55.44it/s]  0 loss: 0.17973, acc: 0.73423: 
14080/354688 [03:46<1:40:21 56.57it/s]  0 loss: 0.17973, acc: 0.73423: 
14080/354688 [03:47<1:40:21 56.57it/s]  0 loss: 0.1781, acc: 0.73643:  
14144/354688 [03:47<1:31:48 61.82it/s]  0 loss: 0.1781, acc: 0.73643: 
14208/354688 [03:48<1:31:39 61.91it/s]  0 loss: 0.1781, acc: 0.73643: 
14272/354688 [03:49<1:31:40 61.89it/s]  0 loss: 0.1781, acc: 0.73643: 
14336/354688 [03:50<1:28:30 64.09it/s]  0 loss: 0.1781, acc: 0.73643: 
14400/354688 [03:51<1:29:02 63.70it/s]  0 loss: 0.1781, acc: 0.73643: 
14464/354688 [03:52<1:29:05 63.64it/s]  0 loss: 0.1781, acc: 0.73643: 
14528/354688 [03:53<1:22:54 68.39it/s]  0 loss: 0.1781, acc: 0.73643: 
14592/354688 [03:54<1:23:26 67.94it/s]  0 loss: 0.1781, acc: 0.73643: 
14656/354688 [03:54<1:21:56 69.16it/s]  0 loss: 0.1781, acc: 0.73643: 
14720/354688 [03:55<1:23:15 68.06it/s]  0 loss: 0.1781, acc: 0.73643: 
14720/354688 [03:56<1:23:15 68.06it/s]  0 loss: 0.17688, acc: 0.73877: 
14784/354688 [03:56<1:26:00 65.87it/s]  0 loss: 0.17688, acc: 0.73877: 
14848/354688 [03:58<1:34:58 59.64it/s]  0 loss: 0.17688, acc: 0.73877: 
14912/354688 [03:59<1:40:10 56.53it/s]  0 loss: 0.17688, acc: 0.73877: 
14976/354688 [04:00<1:36:46 58.51it/s]  0 loss: 0.17688, acc: 0.73877: 
15040/354688 [04:01<1:30:14 62.72it/s]  0 loss: 0.17688, acc: 0.73877: 
15104/354688 [04:02<1:26:19 65.56it/s]  0 loss: 0.17688, acc: 0.73877: 
15168/354688 [04:03<1:26:20 65.54it/s]  0 loss: 0.17688, acc: 0.73877: 
15232/354688 [04:04<1:31:10 62.05it/s]  0 loss: 0.17688, acc: 0.73877: 
15296/354688 [04:05<1:42:55 54.96it/s]  0 loss: 0.17688, acc: 0.73877: 
15360/354688 [04:07<1:44:11 54.28it/s]  0 loss: 0.17688, acc: 0.73877: 
15360/354688 [04:07<1:44:11 54.28it/s]  0 loss: 0.17592, acc: 0.74105: 
15424/354688 [04:07<1:35:06 59.46it/s]  0 loss: 0.17592, acc: 0.74105: 
15488/354688 [04:08<1:31:32 61.76it/s]  0 loss: 0.17592, acc: 0.74105: 
15552/354688 [04:09<1:29:58 62.82it/s]  0 loss: 0.17592, acc: 0.74105: 
15616/354688 [04:10<1:29:25 63.19it/s]  0 loss: 0.17592, acc: 0.74105: 
15680/354688 [04:11<1:30:05 62.71it/s]  0 loss: 0.17592, acc: 0.74105: 
15744/354688 [04:12<1:20:08 70.49it/s]  0 loss: 0.17592, acc: 0.74105: 
15808/354688 [04:13<1:23:14 67.85it/s]  0 loss: 0.17592, acc: 0.74105: 
15872/354688 [04:14<1:24:26 66.88it/s]  0 loss: 0.17592, acc: 0.74105: 
15936/354688 [04:15<1:16:44 73.58it/s]  0 loss: 0.17592, acc: 0.74105: 
16000/354688 [04:16<1:19:50 70.70it/s]  0 loss: 0.17592, acc: 0.74105: 
16000/354688 [04:17<1:19:50 70.70it/s]  0 loss: 0.17406, acc: 0.7444:  
16064/354688 [04:17<1:17:46 72.56it/s]  0 loss: 0.17406, acc: 0.7444: 
16128/354688 [04:17<1:16:04 74.17it/s]  0 loss: 0.17406, acc: 0.7444: 
16192/354688 [04:18<1:19:38 70.83it/s]  0 loss: 0.17406, acc: 0.7444: 
16256/354688 [04:19<1:22:23 68.46it/s]  0 loss: 0.17406, acc: 0.7444: 
